Date,Close,Open,Low,High,Volume
2023-06-05,25760.09765625,27123.109375,25445.16796875,27129.982421875,21513292646
2023-06-06,27238.783203125,25732.109375,25434.8671875,27313.8203125,21929670693
2023-06-07,26345.998046875,27235.650390625,26146.98828125,27332.181640625,19530045082
2023-06-08,26508.216796875,26347.654296875,26246.6640625,26797.513671875,11904824295
2023-06-09,26480.375,26505.923828125,26339.314453125,26770.2890625,11015551640
2023-06-10,25851.240234375,26481.76171875,25501.8359375,26531.044921875,19872933189
2023-06-11,25940.16796875,25854.03125,25668.986328125,26203.439453125,10732609603
2023-06-12,25902.5,25934.28515625,25675.197265625,26087.919921875,11677889997
2023-06-13,25918.728515625,25902.94140625,25728.365234375,26376.3515625,14143474486
2023-06-14,25124.67578125,25920.2578125,24902.15234375,26041.80078125,14265717766
2023-06-15,25576.39453125,25121.673828125,24797.16796875,25735.30859375,15837384409
2023-06-16,26327.462890625,25575.283203125,25245.357421875,26463.173828125,16324646965
2023-06-17,26510.67578125,26328.6796875,26174.4921875,26769.39453125,11090276850
2023-06-18,26336.212890625,26510.45703125,26325.890625,26675.92578125,9565695129
2023-06-19,26851.029296875,26335.44140625,26312.83203125,26984.611328125,12826986222
2023-06-20,28327.48828125,26841.6640625,26668.791015625,28388.96875,22211859147
2023-06-21,30027.296875,28311.310546875,28283.41015625,30737.330078125,33346760979
2023-06-22,29912.28125,29995.935546875,29679.158203125,30495.998046875,20653160491
2023-06-23,30695.46875,29896.3828125,29845.21484375,31389.5390625,24115570085
2023-06-24,30548.6953125,30708.73828125,30290.146484375,30804.1484375,12147822496
2023-06-25,30480.26171875,30545.150390625,30327.943359375,31041.271484375,12703464114
2023-06-26,30271.130859375,30480.5234375,29955.744140625,30636.029296875,16493186997
2023-06-27,30688.1640625,30274.3203125,30236.650390625,31006.787109375,16428827944
2023-06-28,30086.24609375,30696.560546875,29921.822265625,30703.279296875,14571500779
2023-06-29,30445.3515625,30086.1875,30057.203125,30796.25,13180860821
2023-06-30,30477.251953125,30441.353515625,29600.275390625,31256.86328125,26387306197
2023-07-01,30590.078125,30471.84765625,30328.865234375,30641.2890625,9086606733
2023-07-02,30620.76953125,30587.26953125,30264.01953125,30766.140625,10533418042
2023-07-03,31156.439453125,30624.515625,30586.513671875,31375.61328125,15271884873
2023-07-04,30777.58203125,31156.865234375,30659.35546875,31325.197265625,12810828427
2023-07-05,30514.166015625,30778.724609375,30225.61328125,30877.330078125,12481622280
2023-07-06,29909.337890625,30507.150390625,29892.2265625,31460.052734375,21129219509
2023-07-07,30342.265625,29907.998046875,29777.28515625,30434.64453125,13384770155
2023-07-08,30292.541015625,30346.921875,30080.16015625,30374.4375,7509378699
2023-07-09,30171.234375,30291.611328125,30085.591796875,30427.58984375,7903327692
2023-07-10,30414.470703125,30172.423828125,29985.39453125,31026.083984375,14828209155
2023-07-11,30620.951171875,30417.6328125,30358.09765625,30788.314453125,12151839152
